Match,Team,Start Time,League,Draftkings,Fanduel,Pinnacle,Betmgm,Fanatics,Caesars,Betonline.Ag,Fair Odds Avg,Event Id,Modified Z Score,Avg Edge Pct,Best Odds,Best Bookmaker,Result,Outcomes,Event ID,Scrape Time
Pittsburgh Panthers @ Florida State Seminoles,Pittsburgh Panthers,2025-10-11 12:00:00,NCAAF,4.2,4.5,4.19,,4.05,4.1,4.03,4.35,,2.28,3.4,4.5,FanDuel,Pittsburgh Panthers,2,Not Found,2025-10-11 10:59:03
TCU Horned Frogs @ Kansas State Wildcats,Kansas State Wildcats,2025-10-11 12:32:00,NCAAF,1.14,1.16,1.5,1.14,1.12,1.59,,1.32,,2.15,20.43,1.59,Caesars,Kansas State Wildcats,2,Not Found,2025-10-11 17:59:15
Iowa State Cyclones @ Colorado Buffaloes,Iowa State Cyclones,2025-10-11 12:36:00,NCAAF,2.65,2.64,1.66,2.5,2.55,2.95,,2.54,,3.19,15.97,2.95,Caesars,Colorado Buffaloes,2,Not Found,2025-10-11 18:27:54
Georgia Bulldogs @ Auburn Tigers,Auburn Tigers,2025-10-11 15:30:00,NCAAF,7.5,9.0,4.31,7.75,7.4,7.4,,7.22,,3.95,24.64,9.0,FanDuel,Georgia Bulldogs,2,Not Found,2025-10-11 23:09:23
Denver Broncos @ New York Jets,New York Jets,2025-10-12 09:30:00,NFL,4.4,4.1,4.06,4.0,4.0,4.05,4.06,4.25,,3.82,3.58,4.4,DraftKings,Denver Broncos,2,Not Found,2025-10-12 07:59:14
Arizona Cardinals @ Indianapolis Colts,Arizona Cardinals,2025-10-12 13:01:00,NFL,4.5,4.4,4.47,4.75,4.3,4.4,4.16,4.59,,2.36,3.41,4.75,BetMGM,Indianapolis Colts,2,Not Found,2025-10-12 12:59:27
Cincinnati Bengals @ Green Bay Packers,Cincinnati Bengals,2025-10-12 16:28:00,NFL,6.2,12.0,8.54,5.0,7.0,5.2,,7.07,,2.01,69.74,12.0,FanDuel,Green Bay Packers,2,Not Found,2025-10-12 18:58:57
Seattle Mariners @ Toronto Blue Jays,Toronto Blue Jays,2025-10-12 20:04:45,MLB,2.75,2.62,2.22,2.6,2.5,3.6,,2.8,,4.11,28.48,3.6,Caesars,Seattle Mariners,2,Not Found,2025-10-12 22:08:26
Detroit Lions @ Kansas City Chiefs,Detroit Lions,2025-10-12 20:22:43,NFL,4.1,6.4,2.55,5.0,4.75,4.05,,4.38,,2.53,46.07,6.4,FanDuel,Kansas City Chiefs,2,Not Found,2025-10-12 22:08:26
Vegas Golden Knights @ Calgary Flames,Calgary Flames,2025-10-14 21:08:12,NHL,12.0,11.0,6.54,13.5,13.0,19.0,,11.85,,3.51,60.3,19.0,Caesars,Vegas Golden Knights,2,Not Found,2025-10-14 23:43:51
Pittsburgh Penguins @ Anaheim Ducks,Pittsburgh Penguins,2025-10-14 22:44:38,NHL,3.8,2.14,2.21,3.8,2.05,2.1,,2.64,,2.65,44.16,3.8,DraftKings,Anaheim Ducks,2,Not Found,2025-10-14 23:58:54
Florida Panthers @ New Jersey Devils,New Jersey Devils,2025-10-16 19:11:50,NHL,2.14,2.18,1.62,2.15,2.1,2.45,,2.19,,4.27,11.84,2.45,Caesars,New Jersey Devils,2,Not Found,2025-10-16 19:35:19
Nashville Predators @ Montréal Canadiens,Nashville Predators,2025-10-16 19:08:17,NHL,2.1,2.12,2.18,2.1,2.1,2.35,,2.28,,2.7,3.02,2.35,Caesars,Montreal Canadiens,2,Not Found,2025-10-16 19:35:19
Winnipeg Jets @ Philadelphia Flyers,Winnipeg Jets,2025-10-16 19:16:05,NHL,1.05,1.04,1.11,1.06,1.05,1.25,,1.14,,2.78,9.23,1.25,Caesars,Winnipeg Jets,2,Not Found,2025-10-16 20:44:59
